user_id,create_time,rev_krw,region
400000348,2025-10-09 01:51:04.666671,2057400,jp
400000351,2025-10-09 01:51:02.544737,2476200,jp
400000352,2025-10-09 01:51:01.853354,5875200,jp
400000354,2025-10-09 01:51:19.966742,103900,jp
400000356,2025-10-09 01:51:04.878142,0,jp
400000358,2025-10-09 02:01:30.158377,1410200,jp
400000363,2025-10-09 01:51:10.559379,1100,jp
400000380,2025-10-09 01:51:09.528177,8035300,jp
400000382,2025-10-09 01:51:17.709193,678600,jp
400000383,2025-10-09 01:51:01.262899,1100,jp
400000388,2025-10-09 01:51:11.170843,0,jp
400000391,2025-10-09 01:51:09.996855,627700,jp
400000397,2025-10-09 02:51:09.984066,49500,jp
400000398,2025-10-09 01:51:08.611304,10247000,jp
400000400,2025-10-09 01:51:02.018275,1412600,jp
400000410,2025-10-09 01:51:44.804353,2249900,jp
400000417,2025-10-09 01:51:04.655275,0,jp
400000429,2025-10-09 01:51:07.049622,6078000,jp
400000432,2025-10-09 01:51:42.327687,0,jp
400000434,2025-10-09 01:51:47.421334,585500,jp
400000435,2025-10-09 01:51:35.120148,48700,jp
400000436,2025-10-09 01:51:34.940659,0,jp
400000446,2025-10-09 01:51:30.686867,0,jp
400000447,2025-10-09 01:51:11.256025,2860300,jp
400000450,2025-10-09 01:51:12.55614,6276700,jp
400000455,2025-10-09 01:51:15.237025,8800,jp
400000463,2025-10-09 01:51:09.00903,956400,jp
400000465,2025-10-09 02:23:32.446532,100100,jp
400000467,2025-10-09 01:51:11.299367,194100,jp
400000468,2025-10-09 01:51:28.925269,1827900,jp
400000477,2025-10-09 01:51:22.731878,58800,jp
400000482,2025-10-09 02:44:37.198899,15400,jp
400000485,2025-10-09 01:51:24.980019,1100,jp
400000488,2025-10-09 01:51:30.002389,267000,jp
400000493,2025-10-09 01:51:20.814741,221400,jp
400000499,2025-10-09 01:51:17.865108,90500,jp
400000502,2025-10-09 01:51:17.596327,312100,jp
400000503,2025-10-09 01:51:36.292726,0,jp
400000505,2025-10-09 01:51:27.581642,1493200,jp
400000510,2025-10-09 01:51:24.117136,1017500,jp
400000518,2025-10-09 01:51:23.168924,14300,jp
400000524,2025-10-09 01:51:29.141038,62300,jp
400000525,2025-10-09 01:52:50.885732,0,jp
400000535,2025-10-09 01:51:28.058959,3300,jp
400000557,2025-10-09 01:51:24.257275,2718900,jp
400000563,2025-10-09 01:51:32.430846,1118400,jp
400000569,2025-10-09 01:51:30.711388,0,jp
400000581,2025-10-09 01:51:43.376239,1315400,jp
400000584,2025-10-09 01:51:32.250875,17600,jp
400000585,2025-10-09 01:51:28.479219,3590500,jp
400000588,2025-10-09 01:51:36.681008,548500,jp
400000599,2025-10-09 01:51:34.137452,11507400,jp
400000600,2025-10-09 01:52:24.191031,220500,jp
400000602,2025-10-09 01:53:34.867068,354000,jp
400000604,2025-10-09 01:52:05.831121,1423000,jp
400000611,2025-10-09 01:51:30.622245,1528200,jp
400000613,2025-10-09 01:51:39.208439,339000,jp
400000619,2025-10-09 01:51:34.625725,21900300,jp
400000621,2025-10-09 01:51:43.609164,47100,jp
400000624,2025-10-09 01:52:03.342593,1100,jp
400000629,2025-10-09 01:51:34.220496,29500,jp
400000639,2025-10-09 01:51:40.630984,0,jp
400000642,2025-10-09 02:17:22.080258,20900,jp
400000643,2025-10-09 01:51:42.126668,0,jp
400000644,2025-10-09 02:08:29.572551,0,jp
400000651,2025-10-09 01:52:09.754244,1240200,jp
400000653,2025-10-09 01:52:23.546942,0,jp
400000660,2025-10-09 01:51:37.760231,22700,jp
400000661,2025-10-09 01:51:47.885656,0,jp
400000679,2025-10-09 06:21:51.056569,0,jp
400000687,2025-10-09 02:05:11.074983,3300,jp
400000691,2025-10-09 01:52:49.632834,1060200,jp
